股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金,version,config,price,entry_date,stock,engine,fled_pct,r400_chg,ma20,ma20_gap,big_holder_chg,pnl,ret,price_tier,days_bucket
3014,backup_v4,20230607,115.0,20230719,127.0,42,+9.99%,"NT$+8,320",到期,"NT$83,263",v4,6週+6個持倉_2023年,115.0,20230607,3014,backup_v4,-8.175464814733418,0.0,108.615,5.878561892924555,0.0,8320.0,9.99,100-200,30-42日
2308,backup_v4,20230614,353.0,20230726,360.5,42,+1.68%,"NT$+1,397",到期,"NT$83,073",v4,6週+6個持倉_2023年,353.0,20230614,2308,backup_v4,-5.245006321112515,0.0,318.675,10.771161842002035,0.0,1397.0,1.68,300-500,30-42日
2330,backup_v4,20230614,590.0,20230726,566.0,42,-4.51%,"NT$-3,757",到期,"NT$83,309",v4,6週+6個持倉_2023年,590.0,20230614,2330,backup_v4,-8.138326349625567,0.0,556.3,6.0578824375337135,0.0,-3757.0,-4.51,500+,30-42日
1560,backup_v4,20230621,127.0,20230802,131.5,42,+3.10%,"NT$+2,583",到期,"NT$83,304",v4,6週+6個持倉_2023年,127.0,20230621,1560,backup_v4,-12.54371122391427,0.0,121.025,4.936996488328853,0.0,2583.0,3.1,100-200,30-42日
4551,backup_v4,20230712,146.5,20230802,135.5,21,-7.95%,"NT$-6,626",停損,"NT$83,331",v4,6週+6個持倉_2023年,146.5,20230712,4551,backup_v4,-18.92456773703211,0.0,152.175,-3.729259076720888,0.0,-6626.0,-7.95,100-200,14-30日
2731,backup_v4,20230809,159.5,20230811,144.0,2,-10.16%,"NT$-8,455",停損,"NT$83,218",v4,6週+6個持倉_2023年,159.5,20230809,2731,backup_v4,-6.903467908902691,0.0,161.05,-0.9624340266997896,0.0,-8455.0,-10.16,100-200,<7日
3483,backup_v4,20230809,158.0,20230811,146.5,2,-7.72%,"NT$-6,426",停損,"NT$83,226",v4,6週+6個持倉_2023年,158.0,20230809,3483,backup_v4,-12.88524215220996,0.0,137.64,14.792211566405125,0.0,-6426.0,-7.72,100-200,<7日
3551,backup_v4,20230809,73.8,20230814,68.2,5,-8.03%,"NT$-6,689",停損,"NT$83,291",v4,6週+6個持倉_2023年,73.8,20230809,3551,backup_v4,-6.230071130733383,0.0,71.815,2.7640465083896117,0.0,-6689.0,-8.03,50-100,<7日
3147,backup_v4,20230809,76.0,20230824,69.3,15,-9.26%,"NT$-7,709",停損,"NT$83,262",v4,6週+6個持倉_2023年,76.0,20230809,3147,backup_v4,-10.793082886106141,0.0,76.035,-0.04603143289274227,0.0,-7709.0,-9.26,50-100,14-30日
4572,backup_v4,20230809,196.0,20230907,181.5,29,-7.84%,"NT$-6,525",停損,"NT$83,222",v4,6週+6個持倉_2023年,196.0,20230809,4572,backup_v4,-17.736263736263737,0.0,183.1,7.04533042053523,0.0,-6525.0,-7.84,100-200,14-30日
