engine,stock,buy_date,exit_date,entry_price,exit_price,days_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
main,4749,20250618,20250704,657.0,596.0,16,-9.28462709284627,-7.4425,-6170,stop_loss
main,6558,20250702,20250707,55.1,49.75,5,-9.709618874773142,-7.4425,-6201,stop_loss
main,6919,20250702,20250707,1335.0,1240.0,5,-7.116104868913857,-7.4425,-6169,stop_loss
main,5469,20250604,20250716,60.6,62.4,42,2.970297029702966,2.527797029702966,2106,hold_period
main,4991,20250618,20250722,90.3,142.5,34,57.80730897009967,57.364808970099666,47776,trailing
main,3131,20250716,20250729,1605.0,1450.0,13,-9.657320872274143,-7.4425,-6101,stop_loss
main,8033,20250625,20250806,60.6,111.0,42,83.16831683168317,82.72581683168318,68929,hold_period
main,6877,20250806,20250825,94.0,87.4,19,-7.021276595744674,-7.4425,-6200,stop_loss
main,6197,20250716,20250827,138.5,179.5,42,29.602888086642597,29.160388086642598,24267,hold_period
backup,2228,20250820,20250902,106.5,111.5,13,4.694835680751173,4.252335680751173,3542,trailing
main,2493,20250827,20250904,152.5,132.5,8,-13.114754098360656,-7.4425,-6194,stop_loss
main,2630,20250825,20250911,59.5,64.5,17,8.403361344537815,7.960861344537816,6631,trailing
backup,6442,20250806,20250915,599.0,864.0,40,44.24040066777963,43.79790066777963,36256,trailing
main,3030,20250902,20250915,200.0,183.5,13,-8.25,-7.4425,-6201,stop_loss
backup,6584,20250904,20250916,250.0,232.0,12,-7.199999999999999,-7.4425,-6186,stop_loss
main,7747,20250806,20250917,140.0,137.5,42,-1.7857142857142856,-2.2282142857142855,-1856,hold_period
main,2402,20250820,20250925,56.5,51.9,36,-8.141592920353984,-7.4425,-6199,stop_loss
main,6449,20250915,20250925,174.0,185.5,10,6.609195402298851,6.166695402298851,5136,trailing
main,4971,20250911,20250926,159.0,147.0,15,-7.547169811320755,-7.4425,-6198,stop_loss
backup,3533,20250917,20251013,1580.0,1460.0,26,-7.59493670886076,-7.4425,-6123,stop_loss
main,2236,20250925,20251014,108.5,99.2,19,-8.57142857142857,-7.4425,-6194,stop_loss
main,3709,20251015,20251028,53.2,49.4,13,-7.142857142857151,-7.4425,-6201,stop_loss
main,2481,20250917,20251029,72.4,85.1,42,17.54143646408838,17.098936464088382,14244,trailing
main,8039,20250917,20251029,62.4,61.4,42,-1.6025641025641029,-2.045064102564103,-1703,hold_period
backup,3189,20251022,20251104,146.5,134.5,13,-8.19112627986348,-7.4425,-6202,stop_loss
main,8422,20251029,20251117,238.0,24.7,19,-89.6218487394958,-7.4425,-6191,stop_loss
backup,5340,20251126,20251216,56.8,60.9,20,7.218309859154933,6.775809859154933,5646,trailing
main,8043,20251126,20251216,75.2,81.6,20,8.51063829787233,8.068138297872329,6720,trailing
backup,3551,20251217,20251219,208.5,191.0,2,-8.393285371702639,-7.4425,-6200,stop_loss
main,6691,20251219,20260102,603.0,554.0,14,-8.12603648424544,-7.4425,-6202,stop_loss
backup,3135,20251203,20260114,58.5,113.0,42,93.16239316239316,92.71989316239316,77241,hold_period
main,2612,20251210,20260121,61.6,61.4,42,-0.3246753246753293,-0.7671753246753292,-639,hold_period
backup,6944,20251217,20260128,636.0,729.0,42,14.622641509433961,14.18014150943396,11741,hold_period
main,2375,20260128,20260130,99.0,91.0,2,-8.080808080808081,-7.4425,-6198,stop_loss
main,6173,20260128,20260130,75.1,68.7,2,-8.521970705725689,-7.4425,-6202,stop_loss
main,8131,20260107,20260202,66.7,71.1,26,6.596701649175399,6.154201649175399,5126,trailing
main,2327,20260128,20260202,285.5,258.0,5,-9.632224168126093,-7.4425,-6192,stop_loss
