engine,stock,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_twd,exit_reason
Main,2641,20250829,20.6,20250926,21.2,807,2.9126213592232904,2.4701213592232905,411,hold_period
Main,2645,20250829,185.0,20250926,172.04999999999998,89,-13.513513513513514,-7.4425,-1227,stop_loss
Main,3030,20250829,215.0,20250926,199.95,77,-18.372093023255815,-7.4425,-1234,stop_loss
Main,3162,20250829,67.7,20250926,62.961,245,-23.190546528803548,-7.4425,-1236,stop_loss
Main,3694,20250829,100.5,20250926,93.46499999999999,165,-22.686567164179102,-7.4425,-1236,stop_loss
Main,4510,20250829,51.4,20250926,47.80199999999999,323,-12.062256809338514,-7.4425,-1237,stop_loss
Main,6209,20250829,39.05,20250926,36.3165,426,-8.450704225352105,-7.4425,-1240,stop_loss
Main,6727,20250829,202.5,20250926,188.325,82,-20.98765432098765,-7.4425,-1238,stop_loss
Main,8033,20250829,170.0,20250926,158.1,97,-17.647058823529413,-7.4425,-1229,stop_loss
Main,2641,20250905,20.4,20251003,20.4,1223,0.0,-0.4425,-111,hold_period
Main,3162,20250905,60.1,20251003,55.893,415,-12.978369384359409,-7.4425,-1859,stop_loss
Main,5243,20250905,73.6,20251003,74.5,339,1.2228260869565295,0.7803260869565295,195,hold_period
Main,5521,20250905,13.6,20251003,12.648,1835,-13.23529411764705,-7.4425,-1860,stop_loss
Main,6209,20250905,37.85,20251003,39.85,659,5.284015852047555,4.841515852047555,1209,hold_period
Main,6727,20250905,220.5,20251003,205.065,113,-11.11111111111111,-7.4425,-1857,stop_loss
Main,1316,20250912,14.05,20251009,15.0,1776,6.761565836298927,6.319065836298927,1579,hold_period
Main,2731,20250912,160.5,20251009,159.5,155,-0.6230529595015576,-1.0655529595015576,-265,hold_period
Main,4971,20250912,156.0,20251009,145.07999999999998,160,-7.051282051282051,-7.4425,-1860,stop_loss
Main,5521,20250912,12.75,20251009,11.8575,1957,-7.058823529411767,-7.4425,-1860,stop_loss
Main,6209,20250912,38.2,20251009,43.05,653,12.696335078534016,12.253835078534015,3061,hold_period
Main,8358,20250725,97.5,20251017,208.0,365,113.33333333333333,112.89083333333333,40232,trailing_stop
Main,1802,20250808,23.95,20251017,28.2,1158,17.745302713987474,17.302802713987475,4806,trailing_stop
Main,5371,20250815,91.6,20251017,104.0,302,13.537117903930138,13.094617903930137,3628,trailing_stop
Main,2455,20250822,142.5,20251017,142.5,159,0.0,-0.4425,-100,trailing_stop
Main,5392,20250829,40.6,20251017,46.8,409,15.270935960591123,14.828435960591122,2466,trailing_stop
Main,3149,20250912,35.8,20251017,37.7,697,5.307262569832419,4.864762569832419,1216,trailing_stop
Main,2476,20250919,110.0,20251017,102.3,151,-9.818181818181817,-7.4425,-1238,stop_loss
Main,2481,20250919,77.2,20251017,81.7,215,5.829015544041451,5.386515544041451,895,hold_period
Main,2731,20250919,160.0,20251017,163.0,104,1.875,1.4325,239,hold_period
Main,3563,20250919,543.0,20251017,544.0,30,0.1841620626151013,-0.25833793738489874,-42,hold_period
Main,4714,20250919,20.25,20251017,19.15,821,-5.432098765432106,-5.874598765432106,-978,hold_period
Main,4949,20250919,40.65,20251017,37.8045,409,-8.856088560885613,-7.4425,-1239,stop_loss
Main,6143,20250919,147.0,20251017,136.70999999999998,113,-11.224489795918368,-7.4425,-1238,stop_loss
Main,6209,20250919,39.95,20251017,39.55,416,-1.0012515644555835,-1.4437515644555834,-240,hold_period
Main,8027,20250919,95.3,20251017,88.62899999999999,174,-10.073452256033573,-7.4425,-1236,stop_loss
Main,8039,20250919,63.3,20251017,61.7,262,-2.5276461295418553,-2.970146129541855,-493,hold_period
Main,3535,20250815,55.6,20251023,71.8,498,29.136690647482006,28.694190647482007,7956,trailing_stop
Main,4722,20250829,143.0,20251023,176.5,116,23.426573426573427,22.984073426573428,3818,trailing_stop
Main,2236,20250926,110.5,20251023,102.76499999999999,205,-15.927601809954748,-7.4425,-1688,stop_loss
Main,2455,20250926,154.0,20251023,144.0,147,-6.493506493506493,-6.9360064935064925,-1572,hold_period
Main,2731,20250926,156.5,20251023,159.5,145,1.9169329073482428,1.474432907348243,335,hold_period
Main,3149,20250926,41.0,20251023,38.129999999999995,553,-8.170731707317076,-7.4425,-1690,stop_loss
Main,5475,20250926,53.9,20251023,59.0,421,9.46196660482375,9.01946660482375,2050,hold_period
Main,6449,20250912,178.5,20251031,185.0,139,3.6414565826330536,3.1989565826330537,795,trailing_stop
Main,2481,20250926,69.7,20251031,84.3,325,20.946915351506448,20.50441535150645,4651,trailing_stop
Main,2236,20251003,109.5,20251031,101.835,227,-16.43835616438356,-7.4425,-1853,stop_loss
Main,3037,20251003,156.0,20251031,163.5,160,4.807692307692308,4.3651923076923085,1091,hold_period
Main,3231,20251003,153.5,20251031,150.5,162,-1.9543973941368076,-2.3968973941368077,-597,hold_period
Main,3450,20251003,291.5,20251031,274.0,85,-6.003430531732419,-6.445930531732419,-1599,hold_period
Main,4979,20251003,212.0,20251031,204.0,117,-3.7735849056603774,-4.216084905660377,-1047,hold_period
Main,5475,20251003,65.9,20251031,68.5,378,3.9453717754172897,3.50287177541729,874,hold_period
Main,2236,20251009,108.5,20251107,100.90499999999999,328,-17.603686635944698,-7.4425,-2652,stop_loss
Main,3231,20251009,151.0,20251107,140.42999999999998,236,-8.940397350993377,-7.4425,-2656,stop_loss
Main,3450,20251009,270.5,20251107,260.0,131,-3.8817005545286505,-4.324200554528651,-1534,hold_period
Main,6138,20251009,216.0,20251107,229.5,165,6.25,5.8075,2073,hold_period
